捷運站,餐廳名稱,星級,評論數,熱門評論
台北車站,JIN ZHU Q Square Branch,4.6,1983,"['在農曆新年之前，我回到加拿大，和我的岳父母一起吃午飯，這頓飯既帶來了節日的歡樂，也帶來了給岳父母留下好印象的無形壓力。菜餚上桌的速度快得令人吃驚，就好像廚房工作人員經過了一支精英烹飪短跑運動員隊伍的訓練一樣。味道宜人，均衡，無可否認做得很出色，但如果您正在尋找一道能向您的靈魂低語甜蜜或點燃對食物熱情的頓悟的菜餚，您可能會覺得這道菜沒有那麼浪漫。話雖如此，但並沒有什麼缺點，一切都令人愉快，只是有點……克制。服務熱情周到，在效率和真誠熱情之間取得了良好的平衡。您不會遇到高級美食殿堂中那種冷漠、誇張的服務，而是看到您吃飽喝足、心滿意足的團隊，他們似乎真的很高興。總而言之，如果您想與好友共享一頓節奏適宜、分量適宜的美餐，金珠餐廳是一個不錯的選擇。只是不要指望任何菜餚會困擾您的夢境。', '強烈推薦。正在尋找一些台灣晚餐，這個選擇評分很高。毫無疑問。我們點了套餐，裡面有很多菜色可供選擇。選定的開胃菜是炸五花肉，味道很好。主菜很棒，例如臭豆腐炒皮蛋、洋蔥炒牛肉片、炸魚條上的牡蠣和蝦米炒捲心菜。湯的選擇又有所不同，即雞肉加山藥（不同類型的山藥，不是我們習慣的那種）。味道極佳。湯的選項混淆了。結果，一位服務員過來給我們提供了一些涼菜。他推薦鹹炸花生、酸甜小番茄和蒜蓉黃瓜。一切都非常好。作為 DTF 的粉絲，這個地方毫無疑問是最佳選擇。特別呼籲提供已提供的服務。它簡直是優秀。從我們到達餐廳（沒有預訂）開始，直到用餐結束。向服務團隊表示感謝。用餐區也非常舒適。', '更像是 4.5 ⭐ 對這個地方一無所知，完全依賴谷歌社區，他們沒有讓我們失望，真是一家很棒的台灣餐廳。食物：真的非常好吃，菜單種類豐富，但要小心臭豆腐，它真的是一種後天養成的味道，哈哈哈。 9/10。服務：對於這個等級來說，標準很好，沒什麼好抱怨的。 8/10。設施：因為位於購物中心，所以設施很好。餐廳本身管理得很好，很寬敞（沒有太多桌子），設計也很合適。 8/10。價格：非常可以接受😂8/10。']"
台北車站,富春食堂 割烹 無菜單料理,4.5,666,"['很棒的午餐，很新鮮，碗可能看起來不大但對我來說卻很飽，魚切得很厚，絕對會再去！還有美味的免費湯！好吃！', '我們提前一天預訂了帶有 omakase 的餐桌，非常值得。很棒的海鮮和友好的廚師。絕對一定要嘗試！', '我在台北吃過的最好的一餐。老闆非常友善且熱情 :)']"
台北車站,Katsuya Guanqian Restaurant,4.7,4743,"['豬裡肌片套餐（$299）：我去過附近的另一家分店（Hoyii 台北車站店）兩次，Katsuya 製作的豬裡肌片總是在同行中最為酥脆、最鮮味。裡面的豬裡肌肉也相當多汁，如果加上炸豬排醬的話味道會更好。然而，味噌湯對我來說味道不太好，因為我不喜歡大多數蔬菜，尤其是洋蔥，但對其他人來說很美味。此外，我還在套餐中額外加了一份炸肉排（+49 美元）、梅子綠茶（+49 美元）和一根新雪谷冰棒（鹹焦糖）（+39 美元）。茶的濃度均衡，酸甜適中。總結來說，服務態度好，送貨速度快，價格合理。另外，二樓也有一些座位。距離地鐵站 Z2 出口僅約 250 公尺（820 英尺）。整體而言，滿分 10 分！僅供參考，您需要在靠近廚房的區域自行取用餐具。', '透過提供免費食物來換取 5 星評價，從而抬高了評分。感覺被誤導了。最多三星。蝦子看起來與菜單上的完全不一樣，顏色是炸過頭的深棕色，而不是菜單上的金黃色。蝦太鹹了。豬肉不太脆，而且有點濕。', '食物還可以，沒什麼好抱怨的。這個地方真正的錯誤在於它試圖提供免費贈品以換取Google的五星評價。這不僅是錯誤的，也是不道德的，並且會使所有先前的 5* 評級無效。不推薦！']"
台北車站,富鼎砂鍋粥 中山南京店/台北美食/推薦餐廳/熱炒/附近美食/砂鍋粥/必吃,4.7,874,"['自從我們到台灣以來就吃太多。於是我們在飯店附近找了一家粥店來排毒。我必須說海鮮南瓜粥是10/10！台灣白菜有如此多種口味，簡直令人驚嘆。又香又甜！', '提供的份量相當大，食物味道很棒。粥裡有兩隻大鮑魚，還有很多扇貝和蝦，非常值得！', '我們最近發現了一家專門供應粥和山藥沙拉的美味餐廳。他們的粥特別值得一提，山藥沙拉也相當美味。']"
台北車站,best義pasta食堂,4.3,1025,"['真好吃！香蒜醬（Google翻譯為義大利麵醬）是店裡新鮮製作的。我們嘗試的三道菜都很棒！如果您想吃台灣菜，強烈建議您暫時放棄它！', '價格合適，味道還不錯。還有漂亮的牆壁藝術🐶。', '帶有台灣風味的美味義大利菜。優質服務']"
台北車站,Dynasty,4.1,669,"['美味、精心準備且價格極為合理。北京烤鴨有 4 種吃法 - 精緻卷鴨、油封鴨、清炒和粥。都很好吃。點心種類豐富，準備也很好。服務品質參差不齊，有的很專業，有的則缺乏經驗且粗心（沒有檢查就把我們剩下的食物給了另一張桌子）。', '和家人一起去過很多次。我們總是感到非常滿意，因為他們提供的粵式飲茶非常美味而且價格合理。由於它很有名，所以大多數時候客人並不多。永遠是我口袋清單上的首位。', '它的英文名是“Dynasty”，可惜在google上找不到它的英文名。這是一家歷史悠久、聲譽卓著的餐廳，地理位置優越，非常安靜，風格宜人，食物美味，但價格不貴。我在台北參觀過的最好的餐廳之一。我的台灣朋友向我介紹了那家餐廳，如果我自己的話，肯定找不到它。它位於 Cesar Park 酒店大樓的三樓。']"
台北車站,Petit France,4.5,1258,"['與通常的法國菜相比，食物非常美味，而且份量很大。對我來說，這種風格並不完全是法式風格。由於使用了許多當地食材，它更像是西式風格的混合。例如最後送的茶就很有中國特色。令我驚訝的是沒有提供咖啡和法式甜點。順便說一句，惠靈頓鮭魚非常棒。', '小店，熱情供應優質食品。空間不大擁擠，但大窗戶引入了外面的鄰裡氛圍，讓人感覺輕鬆的法國鄉村氛圍。工作人員非常敬業，用心服務。建議提前預訂。', '這是一家供應優質法國菜餚的餐廳。花了我800美元……非常愉快的午餐。一開始不要吃太多麵包…給你的胃留點空間吃主菜。鴨胸肉非常嫩，多汁，味道鮮美......強烈推薦。']"
台北車站,Second Floor Cafe,4.4,2905,"['松露薯條（250 美元）：炸得很香脆，搭配松露和起司絲，味道非常棒。甜菜番石榴和蘋果汁（200 美元）：味道相當甜美、多汁且特別。焦糖酥脆冰淇淋配布朗尼（220 美元）：裝飾精美，焦糖奶油和蓮花餅乾與布朗尼和冰淇淋完美搭配。然而，他們免費為我提供座位，因為她誤解了她的話並讓我換座位。總結來說，我沒有預定，勉強在樓下找到了座位。工作人員 Eason 非常友善和熱情，在我點餐前提前通知我，由於顧客太多，食物將延遲供應。但實際上比想像中要快，因為不到 20 分鐘就送來了薯條。我已經很久沒有遇到過如此優質的服務了。因此，如果他們對自己的服務感到抱歉，他們可能會降低您的餐費作為道歉（在這個分店，但我不知道其他分店是否這樣做）。而且它並不位於新光三越南西三店裡面，而是在百貨後面的第一巷子裡。整體而言，滿分 10 分！僅供參考，您可以掃描二維碼（提供英文）下單，其中包含 10% 的服務費。', '我嘗試了他們的越南風味魷魚和經典香蒜蝦扁麵條，非常美味。越南風味的菜餚是新鮮魷魚與東南亞風味的迷人融合。麵條口感彈牙，酸味、草本味和微辣味完美融合。經典的香蒜蝦扁麵條更像是一道舒適的菜餚。香蒜醬味道濃鬱、滑膩，完美地包裹住每根意大利細麵條。蝦肉肥美多汁，為這道菜增添了令人滿意的口感。至於配菜，他們的蔬菜炸薯條又脆又清淡，是標準炸薯條的更健康替代品。蔬菜的天然甜味得以充分體現。沙拉新鮮又簡單，在豐盛的菜餚之間提供清爽的休息😍', '熱情款待－二樓的工作人員細心又有耐心。它具有咖啡館氛圍 - 吃、喝、放鬆，伴隨著背景音樂，用餐時間限制為 2 小時。食物的味道因個人味蕾而異 - 對我來說這並不合適。用餐人群由年輕人和成年人混合組成，但不建議老年人或對食物有挑剔的人前來。如果你希望來，一定要提前預約，但如果你想品嚐台灣當地美食，還有其他選擇']"
台北車站,四米大石鍋拌飯專賣,4.6,3890,"['我吃了一份牛肉拌飯（260 美元）和一罐韓國桃子汁（80 美元）。牛肉片非常美味，多汁又鮮嫩。除此之外，我還嘗試加入稀雞蛋並與米飯一起攪拌，結果味道更美味。上層的米飯配上雞蛋和多汁的肉片，味道鮮美。鍋底的脆米飯很完美，份量充足，是有史以來最好吃、最脆的，不像其他一些韓國餐廳的脆米飯那麼少。最後但同樣重要的一點是，我終於有機會在這裡用餐，因為每次我來，這裡總是滿的，甚至有很多在等待的團體。我建議您在開門時間後10分鐘內到達餐廳。不過說到速度，這頓飯大概煮了 25 分鐘，速度並不快，可能是因為餐廳很快就變得擁擠了。另一方面，食品品質如此之高，而且大多數人都買得起。此外，餐廳裡還播放一些很棒的韓國流行音樂歌曲，所以如果你和我一樣是韓國流行音樂的粉絲，你真的可以在如此美妙的氛圍中享受美食。總體而言，滿分 10 分，評分為 9.9 分，因為我相信速度可以更快，但將來肯定會回升。僅供參考，您可以自助取水、餐具、紙巾，並在飯後付款。', '我只是從地圖上隨機挑選了一家餐廳，幸運的是發現了這顆寶石。食物很棒。我們一共六人，幸運的是我們馬上就拿到桌子了。我點了他們的牛肉拌飯，非常美味。工作人員也非常熱情友善。這裡的氛圍很時尚，地方也很乾淨。', '食物味道還行，但是上菜時間有點長。我相信您可以在台北找到更好、更便宜的韓國石雜飯。']"
台北車站,奧特拉麵Ramen Ultra 微風台北車站店 (日本錦拉麵),4.5,1333,"['我們點了炸豬排當配菜，但它是放在湯裡的。茶樹很冷。除此之外一切都非常美味。', '雖然我很想給予好評，因為服務很好，但拉麵卻低於平均水準。味道不像雞湯，湯很油膩。與我之前在台北參觀過的其他拉麵店相比，它黯然失色。不過炸薯條很好吃。有很多座位可用。', '這是一家極其平庸的拉麵餐廳，我以後不會再去了。我真的不知道這種品質的拉麵是如何獲得 4/5 以上的評分的。我們毫無期待地走進來，毫無驚喜地離開。這家拉麵店的品質確實最多只能算是平庸。您在附圖中看到的拉麵，就是喝了兩口（兩匙半滿的）湯拉麵，三分鐘後送到桌上後的樣子。這是我第一次看到拉麵湯在短短幾分鐘內就變成乾麵條。這附近有更好的拉麵餐廳。節省您的時間和金錢，避免這個誤導的陷阱。']"
忠孝敦化,不二煮藝,4.8,2003,"['友善的服務。食物新鮮可口，上菜迅速。我本來沒想過在台北能吃到義大利菜，但是評價這麼高，我只好試試看。配有野生蘑菇和新鮮蔬菜的松露燴飯非常美味。對於這個城區來說，價格也非常合理。', '美味健康食品，價格合理，氣氛舒適，服務一流。', '超美味又有創意的火龍果海鮮義大利麵：D 一流的服務👌🏻😋強烈推薦！']"
忠孝敦化,好吃食堂海鮮鍋燒 大安店,4.8,1843,"['這可能是吃海鮮粥的較好的地方之一。就價格而言，您不會對碗中新鮮海鮮的品質和數量感到失望。您可以選擇搭配米飯或各種麵條。看到我們帶著孩子而來，他們就給了我們一個攤位，這是一個很好的舉動。我確實推薦它，而且你要么在他們的正常午餐時間之前來，要么在之後來。', '強烈推薦給所有喜歡海鮮的人👍👍', '好的！']"
忠孝敦化,ABV Bar & Kitchen,4.8,1788,"['氣氛很好。很寬敞。我帶我年邁的母親來這裡吃午餐，她很喜歡。音樂很熱鬧，食物也很美味。豬肉蒸蛋很適合沒有牙齒的老人吃。', '這是一家以東南亞為特色的餐廳，屬於 ABV Bar &amp; Kitchen 家族的一部分。大安區有幾家。每個地方都有不同的美食。我吃了“Pad Krapow Moo”泰式香草豬肉碎，菜單上有 3 種辣椒，知道它會很辣。香料很完美，份量也很足。很高興他們在一月戒酒日提供 3 種無酒精啤酒。它太好了，我計劃參觀他們所有的分店。好消息是，他們不會像台北的許多餐廳一樣在 14:00 關門。而且他們還有很棒的啤酒可供選擇。', '由於這家東南亞鯽魚店的佔地面積較小，所以啤酒的選擇並不多（減少）。服務也很一般，很機械，沒有表情。但他們會過來加水並收拾桌子。我們點的所有菜都讓我們非常喜歡。綠色咖哩雞非常好吃，菲律賓豬肉也很好吃。一定要記得在出發前預訂，以確保您可以在周末有一張專門的餐桌。']"
忠孝敦化,舞良麵｜東區必吃晚餐宵夜 延吉街 大巨蛋美食 無國界涼麵 麵飯（“不一樣乾麵”隔壁巷弄內）,4.8,412,"['我在附近工作，每天都會常去這個地方。這是我去過的最好的麵館之一，品種豐富，服務無可挑剔。老闆都非常友善，並會熱情地向您介紹他們的選擇和推薦。對於任何喜歡麵條並來到台北的人來說，這都是一個必去之地！', '商店氛圍非常好，有很多復古的裝飾。食物很棒，非常新鮮，是很棒的家常烹飪風格。', '好的想法和執行，麵條很好吃，有點太甜了，但還可以。']"
忠孝敦化,PASTAIO,4.2,2591,"['非常好的地方，有新鮮的食物和一些有趣的菜單。我建議透過線上預訂餐桌，這非常方便。我認為價格相對於食物的品質來說是相當合理的。義大利麵很棒，但我嘗試了佛卡夏披薩，味道棒極了。我們花了大約 1500 美元吃 2 人份的午餐', '雖然沒有預訂，但一開門就很快就坐在了酒吧。事實上我認為這更有趣，因為我們能夠看到他們準備食物。那裡非常忙，但是每道菜都很快就上菜了。我們點了無花果沙拉、烤蛤蜊、章魚和義大利麵。一切都很美味，但我絕對推薦沙拉。', '食物很美味！喜歡他們菜餚的口味平衡。']"
忠孝敦化,OMAR Bistro,4.8,2553,"['我的朋友發現了一個令人驚奇的地方。我們最終進行了預訂並與家人一起來了。這些飲料確實製作精良，味道鮮美。食物也很美味，加上昏暗的氛圍，非常值得一去。我們計劃在女兒生日那天預訂地下室餐廳😊就像帶有水煙的Shisha Bar一樣，我很想再次來這個地方，而且它的 CP 絕對值得 5 星。', '很高興嘗試這個地方，因為它看起來像一個可以和朋友一起放鬆的很酷的酒吧。然而，我們對飲料極為失望。它們太甜了，每杯飲料都只是加了糖漿的稀釋雞尾酒。服務員甚至忘記了我們的飲料，所以我們等了很長時間才拿到飲料…每人最低消費為 600 新台幣，這個數字還不錯，但考慮到飲料的難喝程度，這簡直是敲詐。該地區有很多酒吧可供選擇，請避開這個地方。', '很酷的地下酒吧，整晚都有專業的工作人員。很棒的氛圍和很有創意的飲品。炸薯條也很美味。 DaBo 是一位很棒的主人，非常友好，我很欣賞他的良好個性和服務。']"
忠孝敦化,不萊梅Bremen忠孝店,4.5,1406,"['餐廳空間寬敞，食物味道不錯，與台北的大多數義大利餐廳相比，份量相當大。份量大小，價格非常合理，同時也提供免費軟性飲料。', '新鮮製作的義大利麵，可客製化（辣度、有或無起司、尺寸選擇等）。透過菜單單即可直接、輕鬆地訂購。自由供應軟性飲料和蘇打水。只接受現金。', '上週日和朋友們一起在這裡吃飯......我真心推薦這家餐廳，適合所有人，家庭、情侶、商務聚餐或獨自一人，意大利面奶油味濃鬱，非常美味，全部都是新鮮製作的，我們喜歡它。']"
忠孝敦化,Village | private kitchen ‧ small stack of wine,4.3,1309,"['除夕夜聚餐。也許這就是導致我們吃到的菜很平庸的原因。曾備受期待，但結果卻不如評論那麼好。必須在正常營業時間內回來。', '我必須說這些地方乾淨、寬敞，桌子很大，非常適合舉辦大型聚會。至於食物，所有東西味道都很一般，沒有什麼特別突出的，也沒有什麼讓我想重新點這道菜的。用餐結束後，我們一行人都在聊天，因為我們很久沒見面了。我可以理解他們該關閉餐廳了。但是他們不應該大聲播放音樂，而應該只是善意地告訴我們他們要關門了，這樣我們就可以離開了。', '對食物非常失望，無論從味道或價值來看。沒有一道菜是我願意再點的。環境極為吵鬧；為了進行對話，我們必須互相大聲喊叫，並且必須不斷要求別人重複他們所說的話。唯一好的就是服務。雖然很貴，但是👎🏻']"
忠孝敦化,捌千代居酒屋 松山店-松山居酒屋推薦|市民大道人氣串燒|東區推薦串燒|深夜美食|必吃美食|聚餐餐廳,4.8,1503,"['如果您不關心食品品質。你可以試試。但如果你去了那裡，那麼請不惜一切代價避免，因為那裡的食物太糟糕了。烤串很乾，炒飯沒有味道。街上還有很多其他不錯的另類餐廳。如果你只是去喝一杯那也沒問題。如果你不介意有些人太吵的話，這裡的氣氛還不錯。如果您餓了，請一定要避免來這裡。我不知道它是如何獲得 4.9 的評分，但很抱歉我對每道菜都感到非常失望。親自嘗試一下。', '很棒的食物！強烈推薦👍🏻👍🏻👍🏻。工作人員非常友好，服務很棒。', '這是一家很棒的居酒屋，有美味的食物和令人驚嘆的熱鬧氛圍！']"
忠孝敦化,Solo Pasta,4.5,12470,"['在 Solo Pasta 的用餐體驗令人失望。儘管我們已經預訂了，但我們到達時桌子還沒有準備好，我們只能站了 15 分鐘。除此之外，義大利麵食真是令人失望…我不知道義大利麵醬的味道是否不對……而且鴨胸肉中有很多骨頭碎片，做工很差。更糟的是，一大群孩子在餐廳裡跑來跑去，使得餐廳變得混亂且不安全。噪音失去了控制，沒有工作人員介入處理這種情況。更不用說，門一直開著，卻沒人去關它（那是冬天），這令人沮喪和不愉快。我明白員工人數可能不足，但這確實感覺像是管理問題。這家餐廳很有潛力，但需要有人加緊努力，提高食物品質和整體用餐體驗。這不值得花時間和金錢，不幸的是這是一場災難 :/', '太糟糕了。我於下午 4:55 到達，並被告知必須在下午 6 點前完成。美好的。我在下午 5 點 20 分吃完了開胃菜和意大利麵，但主菜直到下午 5 點 50 分才上來（在我告訴女服務員我要趕飛機之後）。他們真的指望我在 10 分鐘內吃完這個和甜點嗎？從味道上來說，食物一點也不正宗，簡直糟糕透了/低於平均水平。炸海鮮－濕透了，有的很鹹，有的則完全沒有味道。蝦肉根本脫離不來，說明不新鮮。義大利麵 - 調味還可以，但義大利麵本身煮得不夠熟（不要與有嚼勁的義大利麵混淆）。想像一下，當你把義大利麵煮 4 分鐘後，麵粉就會結塊並黏在你的牙齦上。主菜（ossobuco）-沒有拍照，因為我必須在幾分鐘內把牠吃完。肉質鮮嫩，但味道卻十分淡。沒有嚐到馬鈴薯泥的味道。甜點（奶凍）——他們稱它為全台灣最好的奶凍，但它太硬了，更像慕斯。沒有人會稱之為奶凍。示範也很馬虎。', '我吃了一份耳形義大利麵，配上西蘭花和自製香腸 Orecchiette con Broccoli e Salsiccia alla Casalinga（330 美元）和一杯蔓越莓汁（130 美元）。豬肉碎新鮮、多汁、美味，義大利麵有點起司味。在我看來，耳朵形狀的義大利麵很特別，而且比一般的義大利麵更有質感。這樣切碎的西蘭花味道會更好。總結來說，從捷運忠孝敦化站步行大約需要3分鐘。浪漫的氛圍，良好的服務態度，美味的食物，而且提前告知了較長的製作時間，但問題是，我不知怎麼在餐廳裡聞到了一股難聞的氣味。整體而言，滿分 10 分，可得 9 分！僅供參考，您的帳單包含 10% 的服務費，最低收費為 500 美元（含服務費）。']"
