捷運站,商家ID,商家名稱
大安森林公園,ChIJycE7ppGpQjQRoxr2WRerTm0,春稻生活館＆搭伙伴簡餐
大安森林公園,ChIJ8eWRPYKpQjQRuXQ3tGY9wKo,Focus Kitchen
大安森林公園,ChIJyZKvmiuqQjQR2RPTk1xQsLA,賈福廚房 JFULL
大安森林公園,ChIJbTKSE4KpQjQRXDZZI57v-pM,Din Tai Fung Xinyi Branch - TAKEOUT ONLY
大安森林公園,ChIJLU89EYKpQjQRoPkxb7kg0Aw,TOASTERiA CAFE
大安森林公園,ChIJEwcHsompQjQR3ugzIiiF4Ro,樂麵屋 永康公園店
大安森林公園,ChIJh-ZpGCqqQjQREBZ6iOoC-Wg,Coffee Naps 蓁澄咖啡手作坊
大安森林公園,ChIJ9Y1eI4KpQjQRO9xqg1e_1oA,petit doux cafe
大安森林公園,ChIJPXI-Hk2pQjQRI_SAfW2WACk,Angel 5 Pizzeria
大安森林公園,ChIJ2c7OvYOpQjQR0gsYO_lmsKw,Hao Kung Tao Chin Chi Yuan (Da'an)
大安森林公園,ChIJG65ZZISpQjQR7BMW90XtB14,Bea's Bistro 美式餐館
大安森林公園,ChIJVU6GUYyrQjQRB2YO6yBe9rU,兔Dreams
大安森林公園,ChIJ8fkIRYKpQjQR558305t-wZQ,Oma Ursel's German Bakery
大安森林公園,ChIJHTGrTIKpQjQRwNY8lMqwFiY,人从众厚切牛排(台北永康店)
大安森林公園,ChIJlQR1XdWrQjQRcANSqsWZixo,Happy Young House
大安森林公園,ChIJiVtnBFSrQjQRmzgs7uLjqio,良記十三香
東門,ChIJNWrvI6qpQjQR9LO6NrSqTUk,Papa Rice 好食燉飯 永康店
東門,ChIJlSAfC4KpQjQRPK_o-n52sn0,Gusto Pizza
東門,ChIJycE7ppGpQjQRoxr2WRerTm0,春稻生活館＆搭伙伴簡餐
東門,ChIJ8eWRPYKpQjQRuXQ3tGY9wKo,Focus Kitchen
東門,ChIJr1zL6w6pQjQR7vQtUE63e14,季然食事
東門,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,Mr.Tree
東門,ChIJbTKSE4KpQjQRXDZZI57v-pM,Din Tai Fung Xinyi Branch - TAKEOUT ONLY
東門,ChIJEwcHsompQjQR3ugzIiiF4Ro,樂麵屋 永康公園店
東門,ChIJLU89EYKpQjQRoPkxb7kg0Aw,TOASTERiA CAFE
東門,ChIJ9Y1eI4KpQjQRO9xqg1e_1oA,petit doux cafe
東門,ChIJA-U6X-epQjQR-T9BLmEfUlc,Din Tai Fung Xinsheng Branch
東門,ChIJPXI-Hk2pQjQRI_SAfW2WACk,Angel 5 Pizzeria
東門,ChIJ2c7OvYOpQjQR0gsYO_lmsKw,Hao Kung Tao Chin Chi Yuan (Da'an)
東門,ChIJG65ZZISpQjQR7BMW90XtB14,Bea's Bistro 美式餐館
東門,ChIJXRjJzCyqQjQR8wBF9jI4s_g,貳房苑 Livingreen
東門,ChIJq6qqqoOpQjQR7LTF5aLFFdQ,Jengji Nanjing Roast Duck
東門,ChIJm_KFRLSrQjQRjByp2hzSidA,深深 永康制作所（打烊時間視疲勞程度而定，建議先打電話確認）
東門,ChIJ8fkIRYKpQjQR558305t-wZQ,Oma Ursel's German Bakery
東門,ChIJVU6GUYyrQjQRB2YO6yBe9rU,兔Dreams
東門,ChIJ7avhlkSpQjQRPKCtBJu1ynw,豆豆里 DODOLI（永康旗艦店）
中正紀念堂,ChIJ_bgSOA6pQjQR_Xc9zeUT7Dk,由紀
中正紀念堂,ChIJ59oeOYKpQjQR5Ij5J7lFVms,28廣東粥鍋燒麵
中正紀念堂,ChIJY9YBLkWpQjQRcH6AWuKJbx0,麵匡匡拉麵食堂 台北南海店
中正紀念堂,ChIJ6Yzoy5ipQjQRUUVVRbNf8_c,Laoxiong beef noodle shop
中正紀念堂,ChIJ7yZJSMCpQjQRhN5QJwt23iM,廚一家鮑汁燜雞米飯-台北南昌店-中正辣味美食|中式餐廳|道地美食|必吃異國料理|在地推薦餐廳|外帶美食|南昌路美食/便當
中正紀念堂,ChIJBfLFBaCpQjQRyVCgnDSsUGg,樂天羊肉
中正紀念堂,ChIJk1fboZmpQjQR_sb0-SnNvrg,Gen. Sun Li-Jen Residence (Army Association)
中正紀念堂,ChIJuyRD4AWpQjQROxmxrPpVC5s,bb.q CHICKEN南昌聯合店
中正紀念堂,ChIJDaPMVPWpQjQRRnSIIHKXYMc,小木斑馬 Brunch & coffee
中正紀念堂,ChIJYwOuFpmpQjQRmtmMKf5ma28,上官木桶鍋-中正店
中正紀念堂,ChIJMSYtWlCpQjQRXyCnFJvgV68,THE CAFÉ BY 想 國家戲劇院 咖啡 美食
中正紀念堂,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,Mr.Tree
中正紀念堂,ChIJM0d775upQjQRXYOC1-8B1Cw,elsewhere cafe
中正紀念堂,ChIJn_WOrZupQjQRUrgl4WQhVzk,傅壹馨館
中正紀念堂,ChIJexBoclapQjQRxTdFSyCF9dc,YOUR HOME KITCHEN BOXED MEAL
中正紀念堂,ChIJcQJkj9SpQjQRA4hU5g6P378,南門市場-史料味極
中正紀念堂,ChIJa41RXJmpQjQRoGr-Jn66NZI,SanHuaiTang Cheesecake & Coffee
中正紀念堂,ChIJEfbv-a2pQjQRbacAlOxrcr0,瓜瓜樂田園美食餐坊
中正紀念堂,ChIJFw_qYJipQjQRUUdaeJFaxNk,萬香烤鴨莊 重慶店
中正紀念堂,ChIJae_euL-pQjQRTme0_eZA7ro,1915荷造り場
台大醫院,ChIJeywZ-HKpQjQRz5CMVpOXpGo,Katsuya Hoyii Taipei Station Restaurant
台大醫院,ChIJMUqmM3OpQjQRTKkB0Ue1hHA,Tutto Fresco翡冷翠義式餐廳
台大醫院,ChIJVcwMFXOpQjQRelOcZB9nU9U,Katsuya Guanqian Restaurant
台大醫院,ChIJB1zfBHOpQjQRK_VOkhbLKPw,鑫耀鑫
台大醫院,ChIJaZLaI4qpQjQRPYj_6O_ehbI,Q Five 多元義式餐廳
台大醫院,ChIJsVV-ScupQjQR8dFJslXaE_E,就愛吃小館
台大醫院,ChIJWYzYBjepQjQRw54c1SAc_kA,星島海南雞（懷寧店）台北車站美食 北車美食 中正區美食
台大醫院,ChIJMSYtWlCpQjQRXyCnFJvgV68,THE CAFÉ BY 想 國家戲劇院 咖啡 美食
台大醫院,ChIJVVVVVRWsQjQRtQGRwRO0r_g,Apricot Garden
台大醫院,ChIJm-QuVXCpQjQR-3ze0o0Fivw,Nola Kitchen Taipei Linsen Store
台大醫院,ChIJbS_YRf-pQjQRlY3RrkOi-CA,Watami Taipei Station Branch
台大醫院,ChIJO63sFXOpQjQRFM9rOIgVQSQ,瓦法奇朵（W.麻辣BAR）放感情 | 台北中正麻辣火鍋 四川菜 精緻鍋物 火鍋推薦 團體聚餐包場
台大醫院,ChIJf5v0NASpQjQRRjn3OpiJZM4,強記雞肉飯
台大醫院,ChIJkWqNHZ6pQjQRfVMeVYXbaOg,Allegro
台大醫院,ChIJz_UT0p-pQjQRrpA4MLmPo-A,詩篇咖啡餐廳Psalms Cafe & Restaurant
台大醫院,ChIJk0uU_XKpQjQRtLULt5DMK6c,Royal Host Taipei Main Station
台大醫院,ChIJneUTn3KpQjQR8_eBLgiNFMU,Second Floor Cafe Breeze Taipei Station
台大醫院,ChIJ2W0BN-irQjQRBeSVGcSkFpA,拉圖爾精釀柴燒餐廳 La Tour Craft Beer & Wood Grill
台大醫院,ChIJdSdIyfepQjQRR91GnujqVSw,MIXTIO 秘地餐廳｜週六營業時間全預約｜咖啡.義大利麵.甜點.排餐.啤酒.餐酒館.商務.辦公｜不限時插座.包廂.76人場地租借.中正區美食
台大醫院,ChIJCfnbmwupQjQR8GBxVXhAPMs,梅門防空洞
台北車站,ChIJD1-a0iipQjQRDOCUK4nQB8Y,Yun-Chen Italian Restaurant
台北車站,ChIJlSe-dm-pQjQR48ZVrhFPkjw,Watami Kitchen Breeze Taipei Station Branch
台北車站,ChIJeywZ-HKpQjQRz5CMVpOXpGo,Katsuya Hoyii Taipei Station Restaurant
台北車站,ChIJhx3xX5GpQjQRrue3BdVPuBY,新高軒北車店
台北車站,ChIJMUqmM3OpQjQRTKkB0Ue1hHA,Tutto Fresco翡冷翠義式餐廳
台北車站,ChIJVcwMFXOpQjQRelOcZB9nU9U,Katsuya Guanqian Restaurant
台北車站,ChIJm-QuVXCpQjQR-3ze0o0Fivw,Nola Kitchen Taipei Linsen Store
台北車站,ChIJaZLaI4qpQjQRPYj_6O_ehbI,Q Five 多元義式餐廳
台北車站,ChIJj4RN8Q6pQjQR7ZCZJJSMJb0,奧特拉麵Ramen Ultra 微風台北車站店 (日本錦拉麵)
台北車站,ChIJWYzYBjepQjQRw54c1SAc_kA,星島海南雞（懷寧店）台北車站美食 北車美食 中正區美食
台北車站,ChIJf4YzfnKpQjQRWA5xZR_Zcyc,八海食潮當代鍋物 -北車店 8sea tide Hotpot
台北車站,ChIJsVV-ScupQjQR8dFJslXaE_E,就愛吃小館
台北車站,ChIJs-WbTcqpQjQRCWb2USaKmwg,百家班HeyAhh-台北京站店
台北車站,ChIJneUTn3KpQjQR8_eBLgiNFMU,Second Floor Cafe Breeze Taipei Station
台北車站,ChIJE9VkEfupQjQRDV-R2oV0w70,Laolao SuanCaiYu Breeze Taipei Station Shop
台北車站,ChIJlbltuqapQjQRX1G9-JB2E4s,大河屋 燒肉丼 串燒-微風北車店
台北車站,ChIJbS_YRf-pQjQRlY3RrkOi-CA,Watami Taipei Station Branch
台北車站,ChIJBzvZfXKpQjQRCV5gLrwMr0c,Kaneko Hannosuke Breeze Taipei Station
台北車站,ChIJO63sFXOpQjQRFM9rOIgVQSQ,瓦法奇朵（W.麻辣BAR）放感情 | 台北中正麻辣火鍋 四川菜 精緻鍋物 火鍋推薦 團體聚餐包場
台北車站,ChIJMRHgTm6pQjQRh0h_5kEk6Ps,味菁軒
中山,ChIJVycuI_WpQjQRTqf-Xr5oymM,bb.q CHICKEN南西店
中山,ChIJx4Z47rWpQjQRVcSg7mJm9zA,蜀川香 酸菜魚-台北南京店
中山,ChIJW_lv_hmpQjQRFslAyToEpRE,YABI KITCHEN Eslite Nanxi Branch
中山,ChIJez2Q5WepQjQRfOkfT_H5tGM,水云濮花椒麻辣麵中山店-茶葉禮盒/林森北路/素食/中山區美食推薦/古樹普洱茶/黑茶/捷運雙連站中山站美食
中山,ChIJm8KF3mqpQjQR2qzgxoqiSyM,Formosa Chang NingXia Main Restaurant
中山,ChIJHdyrxrWpQjQRVUx2nUhAuPs,Second Floor Cafe
中山,ChIJ0aRZ3GepQjQRc_WIUd_mZiY,Chi Chia Chuang (Changchun Road)
中山,ChIJG5s_KO6pQjQRBlrh8GPJHP8,ABV Bar & Kitchen
中山,ChIJlwsr1mepQjQRsZ8pOJiUmMo,紅磡 新飲茶 （林森店）中山區 / 外帶 / 外送 / 下午茶 / 宵夜 / 人氣餐廳 / 推薦餐廳 / 生日聚餐 / 家庭聚餐 / 朋友聚餐 / 約會餐廳
中山,ChIJ06YxvB2pQjQRDaYNiZYkMgo,東引快刀手-南西店 (必吃知名宵夜美食、平價麵館 滷味小吃、人氣銅板料理)
中山,ChIJ57Tqe2mpQjQRYJHQgz16IVw,(Flowers Taiwan) R9 Café
中山,ChIJb0GlSuWpQjQRsLNZ_aN7Nac,Felice饗樂 Pasta&Dessert &鍋物
中山,ChIJvw4JL-GpQjQR06sfBHzlFSw,潮丼日式定食
中山,ChIJm1F3coOpQjQRUMXfOR1RxUE,隱鍋 台北林森北路店
中山,ChIJ5-yjj_2pQjQRqlPbvXCDs_o,YONSHIN Breeze Shin Kong Nanxi Branch
中山,ChIJs-WbTcqpQjQRCWb2USaKmwg,百家班HeyAhh-台北京站店
中山,ChIJNxVRRmmpQjQRNXmzRmmu_nI,BHeart Noodles Eslite Nanxi Branch
中山,ChIJbbvUtW6pQjQRLvK71hSUXN8,Din Tai Fung Mitsukoshi Nanxi Restaurant
中山,ChIJNwiXwkSpQjQRZ1ETR-QTUCc,月霞 Waha Cafe
中山,ChIJrZGrgwypQjQRPiUlLAbrSEs,YAYOI Taipei Station Branch
雙連,ChIJVycuI_WpQjQRTqf-Xr5oymM,bb.q CHICKEN南西店
雙連,ChIJx4Z47rWpQjQRVcSg7mJm9zA,蜀川香 酸菜魚-台北南京店
雙連,ChIJez2Q5WepQjQRfOkfT_H5tGM,水云濮花椒麻辣麵中山店-茶葉禮盒/林森北路/素食/中山區美食推薦/古樹普洱茶/黑茶/捷運雙連站中山站美食
雙連,ChIJW_lv_hmpQjQRFslAyToEpRE,YABI KITCHEN Eslite Nanxi Branch
雙連,ChIJmQvrH4upQjQRVv23J0WuYFs,豪饌頂級麻辣火鍋吃到飽(錦州店)-中山美食•海鮮•肉品•日本A5和牛/日本干貝/龍蝦吃到飽
雙連,ChIJm8KF3mqpQjQR2qzgxoqiSyM,Formosa Chang NingXia Main Restaurant
雙連,ChIJk2afgzCpQjQRtikCN2GYAAU,TakeOut Burger&Cafe 民權店 （不接待10歲以下幼童）
雙連,ChIJHdyrxrWpQjQRVUx2nUhAuPs,Second Floor Cafe
雙連,ChIJ0aRZ3GepQjQRc_WIUd_mZiY,Chi Chia Chuang (Changchun Road)
雙連,ChIJvw4JL-GpQjQR06sfBHzlFSw,潮丼日式定食
雙連,ChIJlwsr1mepQjQRsZ8pOJiUmMo,紅磡 新飲茶 （林森店）中山區 / 外帶 / 外送 / 下午茶 / 宵夜 / 人氣餐廳 / 推薦餐廳 / 生日聚餐 / 家庭聚餐 / 朋友聚餐 / 約會餐廳
雙連,ChIJG5s_KO6pQjQRBlrh8GPJHP8,ABV Bar & Kitchen
雙連,ChIJ57Tqe2mpQjQRYJHQgz16IVw,(Flowers Taiwan) R9 Café
雙連,ChIJb0GlSuWpQjQRsLNZ_aN7Nac,Felice饗樂 Pasta&Dessert &鍋物
雙連,ChIJm1F3coOpQjQRUMXfOR1RxUE,隱鍋 台北林森北路店
雙連,ChIJNwiXwkSpQjQRZ1ETR-QTUCc,月霞 Waha Cafe
雙連,ChIJ06YxvB2pQjQRDaYNiZYkMgo,東引快刀手-南西店 (必吃知名宵夜美食、平價麵館 滷味小吃、人氣銅板料理)
雙連,ChIJN6NAV2mpQjQRsARspmzkV7g,GALERIE Bistro 家樂利小酒館
雙連,ChIJHS-iTWmpQjQR07JYlXrMQqY,GB Brewery Restaurant –Taipei NanXi Store
雙連,ChIJbbvUtW6pQjQRLvK71hSUXN8,Din Tai Fung Mitsukoshi Nanxi Restaurant
民權西路,ChIJ4xbXFX2pQjQRVEiuQ74yZGQ,亞當炒飯/中山區美食 中山區炒飯 中山區炒飯推薦 民權西路站美食 中山國小美食 好吃的炒飯
民權西路,ChIJ6_ECFKipQjQR9fU8jospsIo,久居小廚
民權西路,ChIJk2afgzCpQjQRtikCN2GYAAU,TakeOut Burger&Cafe 民權店 （不接待10歲以下幼童）
民權西路,ChIJbamMQUWpQjQRiFWnBTPPj_Y,Shin Yeh Taiwanese Cuisine Main Restaurant
民權西路,ChIJvw4JL-GpQjQR06sfBHzlFSw,潮丼日式定食
民權西路,ChIJm8KF3mqpQjQR2qzgxoqiSyM,Formosa Chang NingXia Main Restaurant
民權西路,ChIJk4LgT4mpQjQRztQG2jpWESg,特饈谷咖啡簡餐店
民權西路,ChIJtyqVvb2pQjQRzhv78XzZ5Sw,歐吧噠韓餐酒 圓山花博店 오빠닭 감성포차 Oppadak Korean Cuisine
民權西路,ChIJm1F3coOpQjQRUMXfOR1RxUE,隱鍋 台北林森北路店
民權西路,ChIJaWnLx0OpQjQRiNKgD7ko8RI,真正越南美食
民權西路,ChIJb9CZ9m6pQjQRZ7PgTEtMDOo,collective elements restaurant
民權西路,ChIJpfQIREKpQjQRnhnwMQJ4MNg,好佳麵食館
民權西路,ChIJE63C8fypQjQRocBKJlXHlC8,Jiu Yue Dim Sum Restaurant
民權西路,ChIJFzCjSlupQjQRs3IhuhO0Au8,阿圖麻油雞 （總店）
民權西路,ChIJdeEVpDCpQjQRNd0_L5SJh0o,歐華軒
民權西路,ChIJoaiywAWpQjQRZl6XrDU3z3I,波麗路餐廳-創始本店
民權西路,ChIJIRLB32mpQjQRXPO-64Ru9Z4,百八魚場 民生店
民權西路,ChIJW_MY_WmpQjQR3WNckXD1qz8,繼光香香雞-雙連店
圓山,ChIJ4xbXFX2pQjQRVEiuQ74yZGQ,亞當炒飯/中山區美食 中山區炒飯 中山區炒飯推薦 民權西路站美食 中山國小美食 好吃的炒飯
圓山,ChIJGWgKS3SpQjQROonnyuoCVOk,龍爺鳳娘湯品 圓山店
圓山,ChIJtTktDCipQjQRX-v-MOVig7M,劍潭救國團 遇花源 湖畔咖啡廳 Garden Coffee
圓山,ChIJwRIHDr6pQjQRC9lmWpL7EIM,Seoul Ho! Churros 圓山店
圓山,ChIJbamMQUWpQjQRiFWnBTPPj_Y,Shin Yeh Taiwanese Cuisine Main Restaurant
圓山,ChIJbXCHHA2pQjQRpK7Boj_cwbw,What’s Life Coffee Roasters
圓山,ChIJcwGG9GOpQjQRZ7qJ08UaTm4,烤肉公園 圓山花博店
圓山,ChIJCa8lz0ipQjQRrZY39edDL7c,Planté fooderage Juice&Milk Tea
圓山,ChIJtyqVvb2pQjQRzhv78XzZ5Sw,歐吧噠韓餐酒 圓山花博店 오빠닭 감성포차 Oppadak Korean Cuisine
圓山,ChIJe0uG6WupQjQRuMuJa1-1YQE,BREMEN 不萊梅 圓山店
圓山,ChIJ4eTDcKupQjQRs1kp632Ui3I,哈泰 泰式料理 花博店
圓山,ChIJXU5StEipQjQRKXLrg3B6viE,21工房麵條研究室
圓山,ChIJYfIZQ1qpQjQRlYV-mAl4PQI,丸林魯肉飯
圓山,ChIJIWSfTkipQjQRF6Zq5wpy2wI,No. 1 Goose
圓山,ChIJqY40N0-pQjQRCz1Fy0cdeQo,The Three Lions Inn
圓山,ChIJGdlahE-pQjQRc60dJcIOIjw,女王漢堡
圓山,ChIJdeEVpDCpQjQRNd0_L5SJh0o,歐華軒
圓山,ChIJD2-ID0-pQjQROmYUDHpqW-U,英國生蠔海鮮小屋 British Oysters Seafood Shed
圓山,ChIJrUkyBk-pQjQRvD40FRIZC3k,非凡越式食堂
圓山,ChIJO_7rzEipQjQRLeUOvLXoYco,冰山五角
劍潭,ChIJ28b6UKWuQjQRGsSWgNSk0Ms,Huge Burger
劍潭,ChIJd9QKFaWuQjQRLPGO-ltaXj4,Modern Toilet Theme Restaurant
劍潭,ChIJFZkMh7quQjQR1Dm0lGmuQCQ,Niufang Beef Noodle Restaurant
劍潭,ChIJfxKVD7OuQjQRggplcwuG3bM,Hao Ji Zhuanye Beef Noodle Restaurant
劍潭,ChIJ81qGnLGuQjQRIU47pANj8Z8,Le Flam 樂芙坊
劍潭,ChIJpwJIT6WuQjQRw0vYVcv1nZY,食來運轉
劍潭,ChIJyTjg-oCvQjQRhwEWEuKnZvU,Just Ice Cream (Qiangang)
劍潭,ChIJp18ZReyvQjQRG3UI6bJjDYg,梁社漢排骨-士林前港店
劍潭,ChIJHX1R7cquQjQRa4C8trTxDB0,Formosa Chang Taipei ChengDe Restaurant
劍潭,ChIJLSdhBV-pQjQR5M-h5180Ys4,川邸鍋物專門 個人鴛鴦鍋（士林劍潭店）
劍潭,ChIJnWrLb7OuQjQRGiY9k9L0uB0,宮內屋
劍潭,ChIJ0T-Uw7OuQjQREINdkOz-Gqc,幸容越南美食（原可口越南美食）
劍潭,ChIJpbFqT7KuQjQRGC176jvxTgY,富樂臺式涮涮鍋
劍潭,ChIJEfswHB-nQjQREbb7azbvRdY,想奌 想點 手作咖啡 銘傳校園店
劍潭,ChIJdxEpxLCuQjQRLkxYTPumxoI,原士林牛肉嫂快炒店
劍潭,ChIJQVDSD7OuQjQR3hqRclwoNIM,香港忠記燒臘店
劍潭,ChIJAfBPXKWuQjQR5MMAkxbkX_Y,柯媽媽台南小吃
劍潭,ChIJSwRRF7OuQjQRGYeTy4BmwN8,龍江烤鴨
劍潭,ChIJr9Q2cUWpQjQRDvDl5JD6tw8,雄大涼麵（中山德惠店）
劍潭,ChIJz_24erOuQjQRtCRFYMPPU3E,鍋董日式涮涮鍋劍潭旗艦店
士林,ChIJ67abfVavQjQRscMhuF5_tQA,小倉庫食研所
士林,ChIJdeVTvFyvQjQRc4pooOFuA90,Second Life Coffee Plus
士林,ChIJL3BfoyqvQjQRjgWQP6sJFCw,Hong Rui Chen Shilin store
士林,ChIJd9QKFaWuQjQRLPGO-ltaXj4,Modern Toilet Theme Restaurant
士林,ChIJ-3ozs6faDRQRyjuQLk-wjEQ,Jipin Fried Dumpling
