評論者,評分,時間,內容,店家名稱,店家ID
Sin Sin,4,10 個月前,今天中午去用餐，還不錯但有點鹹，我點炸魚義大利麵，這個價位跟這樣的餐點還行~可能是平日吧~上餐速度很快~服務生也很親切~,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Aryton Hsu,1,2 年前,"說真的
我不知道4.9顆星的平均評價哪裡來的
餐廳在信義遠百地下三樓
空間算舒適
桌面清潔也乾淨

但餐點真的不如預期
加選的套餐湯品續湯，來的時候內容都是塊狀，就跟泡麥片粥沒有泡開一樣
所以吃起來都是鹹味

炸物的份量就只有照片中那樣
說真的CP值不高",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
黃小龍,3,9 個月前,餐點太鹹，環境不錯，兒童友善餐廳，但是真的太鹹,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Abby Liu,5,1 年前,平價、好吃，搭配套餐還可以再續一次湯跟麵包👍👍👍,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
leo liang,4,2 年前,"8/1晚間用餐
平日晚上用餐人不會太多，加套餐CP值還行，主餐是羅勒醬煙燻鮭魚義大利麵，味道很濃郁但不會太重口味。然後餐巾紙及飲用水擺放在可以自取的位置，讓人覺得10%服務費有點不符合期望。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
candy chen,5,3 年前,"商業午餐cp值很高
濃湯好喝，只可惜麵包很薄，再厚一點會更好
松露燉飯和千層麵都很濃郁好吃
現在評論還送飲料，cp值極高",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Time Machine,4,2 年前,味道大致上都不錯，但是我覺得他們的番茄牛肉千層麵好特別，有點問號，怎會是牛肉片放上面，覺得好台式～不是應該是碎牛肉一層一層的在中間嗎嗎？上菜時我有傻眼，然後這樣的肉片也很難切，覺得店家可以試試看這樣作法。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
尤晴,5,3 年前,"第一次來店消費
點了松露野菇脆餅、鮭魚千層麵、雞胸肉松露燉飯～
餐點份量不多但味道都還不錯👍 …",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
吳小達,5,2 年前,"上菜迅速…
加點套餐 (麵包＋湯) ，可以續一次。
份量精緻適中。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
王雅平,3,2 年前,"懶人包：初訪，但之後應該也不會再訪了🥲
/
因為吃素的關係點了一個田園鮮蔬千層麵，起司給的很足，但感覺烘烤時間不夠，起司還沒變硬就上桌，所以焗烤的部分就變得糊糊的。
麵條的部分則感覺煮過頭，湯匙一壓就爛的程度，吃不到千層麵應該要有的層次感QQ
最後是配料，品名是鮮蔬，但實際碗裡只有一個玉米筍、一個彩椒、一個花椰菜梗、兩個地瓜和一個馬鈴薯，和期待值相比有點落差🙃
/
結論：不知道別的品項怎麼樣，但反正千層麵不推⋯⋯⋯",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
JOY TSO,3,3 年前,"牛肉千層麵夠燙，有牽絲
明太子燻鮭魚沒有醬汁偏乾的那種，不錯吃
湯跟麵包可以免費續一次！",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
濱江許純瑜,5,3 年前,"最愛這個季節限定草莓舒芙蕾
新鮮草莓
搭上草莓珍珠和蔓越莓果乾
只要是女孩兒肯定都會喜歡",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
hope luo,5,3 年前,店員很nice，服務周到，生日還特別送了手作蛋糕-草莓伯爵戚風！餐點也不錯吃，價格合理。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
神秘勳,1,2 年前,"必須說當初會來這家餐廳完全是被4.8顆星嚇到，果然還是要看近期評論才是最準的

先講優點：義大利麵麵條跟醬都還可以，算是不錯的義大利麵
再來就是缺點了
內場有很大的問題：明明沒有多少客人，卻好像忙不太過來一樣，我是不曉得幾份麵到底會有多忙啦，感覺那位廚師（或老闆）應該要可以搞定才對，卻把店員搞這麼忙實在有點怪，外面用完餐的桌子也就放了十幾分鐘也沒人來收
提供的飲用水也是只有兩小罐，因為麵本身有一定的鹹度，蠻需要配開水，結果水也是補的超級慢…
上菜速度也很慢，連續碗的湯跟麵包也有上錯…我們明明只有兩個人的說…
以上這些缺點在一般餐廳是還好，但都已經收到平均一人加上服務費400多卻是這樣的服務，實在讓人蠻生氣的，希望貴餐廳可以檢討服務與出菜sop上到底出了什麼問題…",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Nina Liu,5,3 年前,"Cp 值高，整體明亮整潔～
而且座位很多，用餐時間不用等！
餐點很香，魚排熱熱吃超好吃😍
松露燉飯也很棒🥰
打卡還送蜜桃玫瑰茶",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
何家茵,5,3 年前,青醬培根義大利很好吃，味道很濃厚，蘑菇湯配麵包絕配，帥哥的服務態度也很讚，下次還會再來～,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
曹丹尼爾,3,2 年前,炸物拼盤不推，口味普通而且不便宜。焗烤類個人覺得也是普通。升級的濃湯好喝但是偏少。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Marty Yang,4,2 年前,"服務速度可以加快、甜品飲品都不錯吃
服務態度良好，用餐環境佳👍😆 …",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Masukiyooo Chen,4,2 年前,"星期六的晚上，竟然只有3個員工…
餐點還算好吃，但員工好辛苦！
而且服務態度也沒有很不好！
太辛苦了🥺🥺🥺

（四顆星有兩顆星是給員工）🙏🏻",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Sisi Mizukosi,5,3 個月前,"舒芙蕾好吃
服務親切",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
TSENG Jessie,5,3 年前,今天和朋友來信義遠百看電影，看完準備吃飯，意外看到新店家，是義式料理餐廳，主打醬汁可自由挑選，不會被侷限住口味，點了雞胸肉青醬燉飯和無骨烤雞腿松露燉飯，店家採用舒肥雞胸肉，不怕有負擔；雞腿超香的～～～～  詢問店員才知道，雞腿中是店家自己醃製的，連紅醬、青醬和南瓜醬都是店家自己熬煮，一吃立馬變為我的❤️店,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Leiya Tien,1,1 年前,在桃園統領百貨分店吃焗烤千層麵+套餐、炸鱈魚條，套餐前菜的麵包跟玉米濃湯普通就算了，湯用大盤裝大概只有薄薄一層像沾醬的高度而已🙂千層麵也像大雜燴一樣各種料參雜、麵也軟爛到看不出來吃不出來，還有一股莫名的酸味🙂結果最好吃的居然是炸鱈魚條😌那個座位沒有要使用其實可以別放或放別的東西(例如一堆開幕花)，放空桌又不放椅子觀感實在不怎麼樣。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Joyce Kuo,5,2 年前,義大利麵跟燉飯都有做到彈牙口感👍。 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
周志宇,5,2 年前,野菇脆餅鬆脆帶著松露香，很順口，豬肋排配上薯條，好吃。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
hsuseagull,3,1 年前,義大利麵好吃，但蒜味超重；其他的餐點都很普通。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
張群,5,3 年前,"前菜麵包外鬆內軟還有淡淡蒜香，很好吃，
然後煙燻鮭魚義大利麵也很讚👍👍👍 …",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
阿婷Ting,5,2 年前,醬料與主菜品項自己挑選的服務很人性化，整體氛圍非常舒服，餐點也很好吃👍👍👍,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Winnie Yu,5,2 年前,"義大利麵好吃，還可以自選醬
環境乾淨明亮
在A13 美食街的餐廳",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Howard Liu,5,3 年前,"在板橋店吃過爐烤雞腿 超好吃😋
聽服務人員說在信義遠百也有義饗屋了
趁著跟朋友來信義區就來嚐鮮看看🥳
排餐好吃！
半雞味道恰到好處👍
環境乾淨 服務人員友善熱情！",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Shen Eggegg,5,3 年前,今天帶小朋友來用餐，環境很乾淨，服務人員態度很有耐心(因為我一度點錯餐😅)。餐點的部分我點了干貝義大利麵搭配明太子醬，微微辣：）好吃推薦 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Minnie Kuo (夏天的冰淇淋),4,2 年前,餐點口味正常表現，我遇到的服務態度是非常不錯的，特別是點餐時的態度。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
DENNIS HUNG,5,3 年前,第一次到信義遠百義饗屋與朋友餐敘，我們各點一份套餐及舒芙蕾下午茶甜點，聽服務員說餐點所有醬料都是店家自己調製而成，我點了鮮蝦青醬義大利麵，真的非常新鮮；味道也很適中，不會很油膩，舒芙蕾更是店家招牌，在信義區有這樣的下午茶真的很不錯，而且平日用餐沒有限制用餐時間這點很讚，下次會再帶家人一起來用餐,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
S S,5,2 年前,當月壽星用餐買一送一，服務環境好，服務人員親切，用餐很愉快,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
黃伯威,5,3 年前,上班日下雨天的A13美食街人不多，感覺有點唏噓. 義饗烏一個員工負責內外場很忙碌，但該注意的服務都很落實.,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Luana Chen,4,1 年前,還不錯吃的商業午餐，份量不大，適合女生吃。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
kaijr,5,3 年前,義大利麵及燉飯的選擇很多且好吃，服務人員親切，值得推薦～,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
楊鎖竹,5,3 年前,"蠻好吃的唷！很讚
雞米花、薯條必點
義大利麵還可以自行搭配醬料覺得很棒唷！",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Wei Eric,5,3 年前,太好吃了，都來及拍照就吃完主餐了。拍個湯品與飲料吧！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Sharon Liao,2,4 個月前,味道不錯，但吃了蝦子義大利麵後大過敏🥲🥲🥲 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Chen Anna,3,1 年前,"《葷素都有》
素食千層麵+大蛤蠣義大利麵，
動作比較慢，味道還ok",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
朱芷寬,1,8 個月前,"逛街逛完想說在附近價格三百左右還行，就過來吃吃看，結果進到櫃檯先等了五分鐘等不到人，再按了服務鈴，又等了三分鐘人才出來，店內都沒其他客人，請勿是在廚房洗澡嗎？
坐下來開始點餐，除了要主餐，還低消一杯飲料，最低也要140一杯，又要收服務費結帳直接價格翻倍一個人要六百，要就直接漲價，強迫消費飲料幹嘛？餐點不難吃，但真的只有三百的價值，真心不推薦這家店。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ling Yun,2,10 個月前,"有收服務費，但是要自己到櫃檯排隊點餐...
湯很好喝，但餐點要加強...清炒大蒜口味的干貝麵，大蒜給很大方，但多到整碗只有大蒜味...然後干貝每一個鹽巴塗超多，鹹到要用開水沖一下再吃......
以這個價位的餐點品質來說，餐點需要多加強",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ripley Huang,4,1 年前,整體cp值高，套餐麵包、湯可續一次,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Yi Taylor,5,10 個月前,"清炒蒜味配煙燻鮭魚義大利麵，蒜/魚半熟 絕配
起司白醬爐烤雞腿燉飯，雞腿嫩/飯粒粒分明軟度適中
起司白醬干貝義大利麵，干貝水嫩
楓糖舒芙蕾，入口化開/甜度剛剛好
拿鐵，香順
焦糖瑪奇朵，香順/甜度剛剛好
以上都來不及拍照就咻咻咻吃光了🤣
下次來台北必會再訪👍",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
陳宇蓁,5,2 年前,"服務態度很好
結帳店員傻傻地好可愛
餐點超好吃  是會當回頭客的
將餐點吃的精光是對廚師最高級的讚美",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Christine Wang,5,2 年前,"松露口味的蛤蠣義大利麵很夠味，超好吃喔😋！
Truffle clam Italian noodle is very delicious! It’s worth a try! …",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
勺子,5,2 年前,很喜歡它醬料和主菜可以自由搭配的菜單！看起來舒芙蕾也非常好吃~期待美食饗宴捏,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
蔡博文,4,1 年前,義大利麵醬蠻濃郁的，不錯。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
cecilia chang,5,3 年前,珍珠芋香舒芙蕾鬆餅超鬆軟香甜，連挑剔的媽媽享用也稱讚，美好的下午茶時光,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Liu Chihyuan,5,3 年前,"牛肉加明太子醬義大利麵的組合好吃的很奇妙

五星評論有送飲料喔",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
丁愷力,1,8 個月前,"要自己到櫃檯點餐跟自己去倒水，服務態度又很差，貴店服務費10%在收什麼意思的？要不要乾脆改用叫號取餐自助收盤子？
完全不行的一次店…",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
public purpose,1,8 個月前,服務態度超級差 餐點超級普通，🈶收10%服務費還得自己端茶遞水收菜單，點餐是去櫃檯看櫃員臉色，不是用qrcode. 建議不用來受氣,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Kevin Hsu,5,8 個月前,吃的還可以，跟711微波的口感差不多，服務態度感覺我欠店員50萬，但不想要只有我體驗到，留個五星看下一組受害人啥時會發現,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
許美程,5,3 年前,明太子系列的義大利麵都好吃！有機會可以試試！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
俋思國際R',5,3 年前,店員很帥 服務超好又細心 東西也好吃～😋 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林憲廷,5,3 年前,非常爽口的義大利麵，飲料喝起來也非常的好喝,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Jau-Shiuan Shiao,4,1 年前,"食物中規中矩 出餐快速 服務熱心
座位桌椅比較普通",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
張煜,5,3 年前,環境很好，食物好吃！服務員態度很好！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
何承燁,5,3 年前,前菜麵包外鬆內軟還有淡淡蒜香，很好吃！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
